Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  3.107400e+02,   3.404802e+00,   6.524865e+00,   1.268284e-01,   3.212540e-04,   3.316363e-01,   6.110081e+00
  3.110000e+02,   3.407557e+00,   6.625496e+00,   1.285376e-01,   3.215046e-04,   3.365296e-01,   6.114102e+00
  3.112600e+02,   3.410310e+00,   6.726054e+00,   1.302457e-01,   3.217548e-04,   3.414154e-01,   6.118076e+00
  3.115200e+02,   3.413061e+00,   6.826539e+00,   1.319526e-01,   3.220046e-04,   3.462938e-01,   6.122004e+00
  3.117800e+02,   3.415810e+00,   6.926949e+00,   1.336584e-01,   3.222541e-04,   3.511647e-01,   6.125888e+00
  3.120400e+02,   3.418557e+00,   7.027288e+00,   1.353630e-01,   3.225031e-04,   3.560282e-01,   6.129730e+00
  3.123000e+02,   3.421302e+00,   7.127552e+00,   1.370665e-01,   3.227518e-04,   3.608842e-01,   6.133531e+00
  3.125600e+02,   3.424045e+00,   7.227744e+00,   1.387688e-01,   3.230002e-04,   3.657328e-01,   6.137294e+00
  3.128200e+02,   3.426776e+00,   7.327523e+00,   1.404711e-01,   3.232497e-04,   3.705568e-01,   6.141021e+00
  3.130800e+02,   3.429279e+00,   7.419776e+00,   1.421986e-01,   3.235338e-04,   3.749952e-01,   6.144737e+00
  3.133400e+02,   3.431780e+00,   7.511978e+00,   1.439252e-01,   3.238175e-04,   3.794280e-01,   6.148417e+00
  3.136000e+02,   3.434280e+00,   7.604129e+00,   1.456509e-01,   3.241008e-04,   3.838551e-01,   6.152061e+00
  3.138600e+02,   3.436779e+00,   7.696230e+00,   1.473758e-01,   3.243837e-04,   3.882765e-01,   6.155671e+00
  3.141200e+02,   3.439276e+00,   7.788279e+00,   1.490998e-01,   3.246663e-04,   3.926923e-01,   6.159247e+00
  3.143800e+02,   3.441772e+00,   7.880278e+00,   1.508229e-01,   3.249485e-04,   3.971025e-01,   6.162791e+00
  3.146400e+02,   3.444267e+00,   7.972225e+00,   1.525452e-01,   3.252303e-04,   4.015071e-01,   6.166305e+00
  3.149000e+02,   3.446760e+00,   8.064122e+00,   1.542665e-01,   3.255117e-04,   4.059061e-01,   6.169788e+00
  3.151600e+02,   3.449252e+00,   8.155967e+00,   1.559870e-01,   3.257928e-04,   4.102995e-01,   6.173242e+00
  3.154200e+02,   3.451529e+00,   8.240673e+00,   1.577117e-01,   3.261060e-04,   4.143311e-01,   6.176664e+00
  3.156800e+02,   3.453798e+00,   8.325105e+00,   1.594359e-01,   3.264200e-04,   4.183465e-01,   6.180057e+00
  3.159400e+02,   3.456066e+00,   8.409504e+00,   1.611596e-01,   3.267335e-04,   4.223577e-01,   6.183423e+00
  3.162000e+02,   3.458333e+00,   8.493870e+00,   1.628826e-01,   3.270467e-04,   4.263647e-01,   6.186762e+00
  3.164600e+02,   3.460600e+00,   8.578203e+00,   1.646050e-01,   3.273596e-04,   4.303675e-01,   6.190075e+00
  3.167200e+02,   3.462865e+00,   8.662502e+00,   1.663268e-01,   3.276721e-04,   4.343661e-01,   6.193363e+00
  3.169800e+02,   3.465130e+00,   8.746768e+00,   1.680480e-01,   3.279842e-04,   4.383606e-01,   6.196627e+00
  3.172400e+02,   3.467393e+00,   8.831001e+00,   1.697686e-01,   3.282959e-04,   4.423508e-01,   6.199866e+00
  3.175000e+02,   3.469656e+00,   8.915200e+00,   1.714886e-01,   3.286073e-04,   4.463369e-01,   6.203082e+00
  3.177600e+02,   3.471918e+00,   8.999366e+00,   1.732080e-01,   3.289183e-04,   4.503189e-01,   6.206276e+00
  3.180200e+02,   3.473983e+00,   9.076965e+00,   1.749156e-01,   3.292584e-04,   4.539716e-01,   6.209424e+00
  3.182800e+02,   3.476041e+00,   9.154298e+00,   1.766225e-01,   3.295993e-04,   4.576090e-01,   6.212549e+00
  3.185400e+02,   3.478098e+00,   9.231611e+00,   1.783291e-01,   3.299399e-04,   4.612433e-01,   6.215654e+00
  3.188000e+02,   3.480155e+00,   9.308904e+00,   1.800353e-01,   3.302801e-04,   4.648746e-01,   6.218737e+00
  3.190600e+02,   3.482211e+00,   9.386178e+00,   1.817411e-01,   3.306199e-04,   4.685028e-01,   6.221800e+00
  3.193200e+02,   3.484267e+00,   9.463432e+00,   1.834465e-01,   3.309594e-04,   4.721280e-01,   6.224844e+00
  3.195800e+02,   3.486322e+00,   9.540667e+00,   1.851516e-01,   3.312986e-04,   4.757501e-01,   6.227868e+00
  3.198400e+02,   3.488377e+00,   9.617881e+00,   1.868562e-01,   3.316374e-04,   4.793692e-01,   6.230873e+00
  3.201000e+02,   3.490431e+00,   9.695076e+00,   1.885606e-01,   3.319759e-04,   4.829852e-01,   6.233860e+00
