Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  2.950000e+03,   5.183456e+00,   1.100689e+02,   7.046329e+00,   2.770164e-03,   3.588046e+00,   9.506209e+00
  3.000000e+03,   5.188477e+00,   1.109003e+02,   7.105548e+00,   2.783071e-03,   3.604445e+00,   9.534439e+00
  3.050000e+03,   5.193449e+00,   1.117242e+02,   7.164245e+00,   2.795649e-03,   3.620656e+00,   9.562258e+00
  3.100000e+03,   5.198375e+00,   1.125405e+02,   7.222431e+00,   2.807913e-03,   3.636684e+00,   9.589677e+00
  3.150000e+03,   5.203255e+00,   1.133496e+02,   7.280114e+00,   2.819873e-03,   3.652533e+00,   9.616707e+00
  3.200000e+03,   5.208089e+00,   1.141515e+02,   7.337305e+00,   2.831542e-03,   3.668207e+00,   9.643357e+00
  3.250000e+03,   5.212880e+00,   1.149463e+02,   7.394014e+00,   2.842931e-03,   3.683711e+00,   9.669640e+00
  3.300000e+03,   5.217482e+00,   1.157282e+02,   7.450155e+00,   2.854065e-03,   3.698866e+00,   9.695524e+00
  3.350000e+03,   5.222017e+00,   1.165024e+02,   7.505823e+00,   2.864944e-03,   3.713829e+00,   9.721057e+00
  3.400000e+03,   5.226514e+00,   1.172701e+02,   7.561048e+00,   2.875573e-03,   3.728638e+00,   9.746257e+00
  3.450000e+03,   5.230974e+00,   1.180317e+02,   7.615844e+00,   2.885963e-03,   3.743298e+00,   9.771133e+00
  3.500000e+03,   5.235398e+00,   1.187873e+02,   7.670230e+00,   2.896125e-03,   3.757815e+00,   9.795698e+00
  3.550000e+03,   5.239787e+00,   1.195372e+02,   7.724222e+00,   2.906067e-03,   3.772195e+00,   9.819963e+00
  3.600000e+03,   5.244145e+00,   1.202817e+02,   7.777840e+00,   2.915799e-03,   3.786443e+00,   9.843941e+00
  3.650000e+03,   5.248406e+00,   1.210182e+02,   7.831061e+00,   2.925338e-03,   3.800483e+00,   9.867626e+00
  3.700000e+03,   5.252553e+00,   1.217461e+02,   7.883895e+00,   2.934694e-03,   3.814297e+00,   9.891027e+00
  3.750000e+03,   5.256675e+00,   1.224697e+02,   7.936424e+00,   2.943868e-03,   3.828003e+00,   9.914182e+00
  3.800000e+03,   5.260775e+00,   1.231891e+02,   7.988679e+00,   2.952870e-03,   3.841609e+00,   9.937106e+00
  3.850000e+03,   5.264855e+00,   1.239050e+02,   8.040688e+00,   2.961708e-03,   3.855122e+00,   9.959814e+00
  3.900000e+03,   5.268918e+00,   1.246176e+02,   8.092485e+00,   2.970394e-03,   3.868552e+00,   9.982323e+00
  3.950000e+03,   5.272968e+00,   1.253276e+02,   8.144105e+00,   2.978935e-03,   3.881910e+00,   1.000465e+01
  4.000000e+03,   5.277006e+00,   1.260353e+02,   8.195588e+00,   2.987341e-03,   3.895205e+00,   1.002681e+01
  4.050000e+03,   5.280990e+00,   1.267393e+02,   8.246941e+00,   2.995628e-03,   3.908386e+00,   1.004881e+01
  4.100000e+03,   5.284881e+00,   1.274383e+02,   8.298180e+00,   3.003807e-03,   3.921415e+00,   1.007066e+01
  4.150000e+03,   5.288774e+00,   1.281369e+02,   8.349417e+00,   3.011882e-03,   3.934417e+00,   1.009240e+01
  4.200000e+03,   5.292673e+00,   1.288358e+02,   8.400704e+00,   3.019862e-03,   3.947407e+00,   1.011406e+01
  4.250000e+03,   5.296583e+00,   1.295359e+02,   8.452098e+00,   3.027757e-03,   3.960399e+00,   1.013566e+01
  4.300000e+03,   5.300509e+00,   1.302379e+02,   8.503658e+00,   3.035578e-03,   3.973408e+00,   1.015722e+01
  4.350000e+03,   5.304455e+00,   1.309426e+02,   8.555450e+00,   3.043336e-03,   3.986449e+00,   1.017877e+01
  4.400000e+03,   5.308429e+00,   1.316510e+02,   8.607541e+00,   3.051043e-03,   3.999542e+00,   1.020034e+01
  4.450000e+03,   5.312436e+00,   1.323641e+02,   8.660004e+00,   3.058708e-03,   4.012702e+00,   1.022195e+01
  4.500000e+03,   5.316354e+00,   1.330768e+02,   8.712824e+00,   3.066354e-03,   4.025785e+00,   1.024360e+01
  4.550000e+03,   5.320311e+00,   1.337960e+02,   8.766171e+00,   3.073984e-03,   4.038966e+00,   1.026534e+01
  4.600000e+03,   5.324320e+00,   1.345229e+02,   8.820133e+00,   3.081607e-03,   4.052274e+00,   1.028723e+01
  4.650000e+03,   5.328388e+00,   1.352589e+02,   8.874804e+00,   3.089237e-03,   4.065730e+00,   1.030927e+01
  4.700000e+03,   5.332524e+00,   1.360052e+02,   8.930278e+00,   3.096885e-03,   4.079358e+00,   1.033153e+01
