Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  2.900000e+03,   5.278801e+00,   1.538443e+02,   9.540847e+00,   2.898236e-03,   4.316702e+00,   1.106810e+01
  2.950000e+03,   5.291458e+00,   1.555923e+02,   9.682299e+00,   2.922553e-03,   4.349271e+00,   1.111004e+01
  3.000000e+03,   5.304038e+00,   1.573355e+02,   9.823463e+00,   2.946444e-03,   4.381621e+00,   1.115156e+01
  3.050000e+03,   5.316456e+00,   1.590692e+02,   9.964120e+00,   2.969945e-03,   4.413639e+00,   1.119266e+01
  3.100000e+03,   5.328588e+00,   1.607868e+02,   1.010395e+01,   2.993099e-03,   4.445155e+00,   1.123330e+01
  3.150000e+03,   5.340667e+00,   1.625008e+02,   1.024357e+01,   3.015861e-03,   4.476497e+00,   1.127356e+01
  3.200000e+03,   5.352507e+00,   1.642012e+02,   1.038247e+01,   3.038290e-03,   4.507406e+00,   1.131341e+01
  3.250000e+03,   5.364165e+00,   1.658909e+02,   1.052082e+01,   3.060384e-03,   4.537966e+00,   1.135286e+01
  3.300000e+03,   5.375774e+00,   1.675773e+02,   1.065895e+01,   3.082121e-03,   4.568364e+00,   1.139196e+01
  3.350000e+03,   5.387107e+00,   1.692480e+02,   1.079628e+01,   3.103568e-03,   4.598287e+00,   1.143066e+01
  3.400000e+03,   5.398319e+00,   1.709114e+02,   1.093321e+01,   3.124697e-03,   4.627952e+00,   1.146901e+01
  3.450000e+03,   5.409486e+00,   1.725717e+02,   1.106995e+01,   3.145500e-03,   4.657467e+00,   1.150704e+01
  3.500000e+03,   5.420377e+00,   1.742161e+02,   1.120587e+01,   3.166042e-03,   4.686514e+00,   1.154469e+01
  3.550000e+03,   5.431169e+00,   1.758545e+02,   1.134146e+01,   3.186290e-03,   4.715340e+00,   1.158202e+01
  3.600000e+03,   5.441918e+00,   1.774899e+02,   1.147685e+01,   3.206237e-03,   4.744022e+00,   1.161905e+01
  3.650000e+03,   5.452424e+00,   1.791111e+02,   1.161152e+01,   3.225942e-03,   4.772289e+00,   1.165574e+01
  3.700000e+03,   5.462820e+00,   1.807257e+02,   1.174582e+01,   3.245381e-03,   4.800325e+00,   1.169212e+01
  3.750000e+03,   5.473175e+00,   1.823375e+02,   1.187993e+01,   3.264543e-03,   4.828227e+00,   1.172822e+01
  3.800000e+03,   5.483347e+00,   1.839384e+02,   1.201348e+01,   3.283472e-03,   4.855800e+00,   1.176401e+01
  3.850000e+03,   5.493369e+00,   1.855304e+02,   1.214656e+01,   3.302166e-03,   4.883094e+00,   1.179951e+01
  3.900000e+03,   5.503353e+00,   1.871197e+02,   1.227946e+01,   3.320605e-03,   4.910261e+00,   1.183474e+01
  3.950000e+03,   5.513236e+00,   1.887028e+02,   1.241202e+01,   3.338810e-03,   4.937217e+00,   1.186971e+01
  4.000000e+03,   5.522905e+00,   1.902733e+02,   1.254394e+01,   3.356817e-03,   4.963810e+00,   1.190438e+01
  4.050000e+03,   5.532538e+00,   1.918413e+02,   1.267568e+01,   3.374587e-03,   4.990284e+00,   1.193880e+01
  4.100000e+03,   5.542135e+00,   1.934068e+02,   1.280727e+01,   3.392127e-03,   5.016641e+00,   1.197299e+01
  4.150000e+03,   5.551507e+00,   1.949590e+02,   1.293817e+01,   3.409488e-03,   5.042623e+00,   1.200689e+01
  4.200000e+03,   5.560808e+00,   1.965067e+02,   1.306882e+01,   3.426638e-03,   5.068443e+00,   1.204056e+01
  4.250000e+03,   5.570076e+00,   1.980520e+02,   1.319931e+01,   3.443574e-03,   5.094152e+00,   1.207400e+01
  4.300000e+03,   5.579249e+00,   1.995914e+02,   1.332947e+01,   3.460315e-03,   5.119669e+00,   1.210720e+01
  4.350000e+03,   5.588236e+00,   2.011198e+02,   1.345907e+01,   3.476890e-03,   5.144870e+00,   1.214016e+01
  4.400000e+03,   5.597191e+00,   2.026459e+02,   1.358852e+01,   3.493264e-03,   5.169967e+00,   1.217289e+01
  4.450000e+03,   5.606114e+00,   2.041697e+02,   1.371782e+01,   3.509443e-03,   5.194961e+00,   1.220543e+01
  4.500000e+03,   5.614885e+00,   2.056843e+02,   1.384664e+01,   3.525460e-03,   5.219687e+00,   1.223772e+01
  4.550000e+03,   5.623544e+00,   2.071921e+02,   1.397509e+01,   3.541311e-03,   5.244204e+00,   1.226980e+01
  4.600000e+03,   5.632173e+00,   2.086978e+02,   1.410340e+01,   3.556978e-03,   5.268623e+00,   1.230169e+01
  4.650000e+03,   5.640773e+00,   2.102013e+02,   1.423157e+01,   3.572467e-03,   5.292945e+00,   1.233338e+01
  4.700000e+03,   5.649194e+00,   2.116941e+02,   1.435920e+01,   3.587817e-03,   5.316970e+00,   1.236484e+01
  4.750000e+03,   5.657544e+00,   2.131824e+02,   1.448656e+01,   3.603007e-03,   5.340843e+00,   1.239611e+01
  4.800000e+03,   5.666258e+00,   2.147406e+02,   1.461992e+01,   3.618758e-03,   5.365769e+00,   1.242871e+01
  4.850000e+03,   5.702330e+00,   2.213970e+02,   1.518930e+01,   3.686288e-03,   5.470933e+00,   1.256766e+01
  4.900000e+03,   5.755991e+00,   2.315726e+02,   1.606637e+01,   3.790275e-03,   5.628976e+00,   1.277620e+01
  4.950000e+03,   5.810172e+00,   2.421454e+02,   1.698595e+01,   3.899033e-03,   5.790017e+00,   1.298794e+01
  5.000000e+03,   5.842399e+00,   2.485796e+02,   1.754947e+01,   3.965578e-03,   5.886518e+00,   1.311448e+01
  5.050000e+03,   5.848725e+00,   2.498727e+02,   1.766296e+01,   3.978951e-03,   5.905727e+00,   1.313982e+01
  5.100000e+03,   5.854952e+00,   2.511480e+02,   1.777490e+01,   3.992018e-03,   5.924634e+00,   1.316474e+01
  5.150000e+03,   5.861165e+00,   2.524227e+02,   1.788682e+01,   4.004958e-03,   5.943496e+00,   1.318956e+01
  5.200000e+03,   5.867365e+00,   2.536968e+02,   1.799870e+01,   4.017773e-03,   5.962314e+00,   1.321430e+01
  5.250000e+03,   5.873550e+00,   2.549702e+02,   1.811056e+01,   4.030467e-03,   5.981086e+00,   1.323895e+01
  5.300000e+03,   5.879599e+00,   2.562351e+02,   1.822196e+01,   4.043069e-03,   5.999645e+00,   1.326347e+01
  5.350000e+03,   5.885630e+00,   2.574991e+02,   1.833333e+01,   4.055555e-03,   6.018154e+00,   1.328790e+01
  5.400000e+03,   5.891648e+00,   2.587625e+02,   1.844466e+01,   4.067925e-03,   6.036620e+00,   1.331225e+01
  5.450000e+03,   5.897653e+00,   2.600252e+02,   1.855596e+01,   4.080182e-03,   6.055043e+00,   1.333651e+01
  5.500000e+03,   5.903644e+00,   2.612873e+02,   1.866723e+01,   4.092327e-03,   6.073423e+00,   1.336069e+01
  5.550000e+03,   5.909565e+00,   2.625451e+02,   1.877827e+01,   4.104376e-03,   6.091682e+00,   1.338476e+01
  5.600000e+03,   5.915409e+00,   2.637982e+02,   1.888907e+01,   4.116332e-03,   6.109811e+00,   1.340874e+01
  5.650000e+03,   5.921240e+00,   2.650506e+02,   1.899984e+01,   4.128182e-03,   6.127900e+00,   1.343263e+01
  5.700000e+03,   5.927059e+00,   2.663025e+02,   1.911058e+01,   4.139928e-03,   6.145947e+00,   1.345645e+01
  5.750000e+03,   5.932865e+00,   2.675537e+02,   1.922129e+01,   4.151572e-03,   6.163953e+00,   1.348018e+01
  5.800000e+03,   5.938658e+00,   2.688044e+02,   1.933196e+01,   4.163115e-03,   6.181918e+00,   1.350383e+01
  5.850000e+03,   5.944346e+00,   2.700484e+02,   1.944230e+01,   4.174580e-03,   6.199717e+00,   1.352738e+01
  5.900000e+03,   5.950000e+00,   2.712904e+02,   1.955252e+01,   4.185953e-03,   6.217446e+00,   1.355084e+01
  5.950000e+03,   5.955641e+00,   2.725317e+02,   1.966272e+01,   4.197231e-03,   6.235134e+00,   1.357423e+01
  6.000000e+03,   5.961270e+00,   2.737725e+02,   1.977289e+01,   4.208414e-03,   6.252784e+00,   1.359754e+01
  6.050000e+03,   5.966887e+00,   2.750127e+02,   1.988302e+01,   4.219504e-03,   6.270395e+00,   1.362078e+01
  6.100000e+03,   5.972492e+00,   2.762523e+02,   1.999313e+01,   4.230504e-03,   6.287967e+00,   1.364394e+01
  6.150000e+03,   5.977982e+00,   2.774846e+02,   2.010285e+01,   4.241437e-03,   6.305360e+00,   1.366700e+01
  6.200000e+03,   5.983454e+00,   2.787160e+02,   2.021253e+01,   4.252283e-03,   6.322707e+00,   1.368998e+01
  6.250000e+03,   5.988914e+00,   2.799467e+02,   2.032217e+01,   4.263041e-03,   6.340016e+00,   1.371289e+01
  6.300000e+03,   5.994363e+00,   2.811769e+02,   2.043179e+01,   4.273715e-03,   6.357288e+00,   1.373573e+01
  6.350000e+03,   5.999800e+00,   2.824065e+02,   2.054138e+01,   4.284303e-03,   6.374523e+00,   1.375849e+01
  6.400000e+03,   6.005226e+00,   2.836355e+02,   2.065093e+01,   4.294809e-03,   6.391721e+00,   1.378119e+01
  6.450000e+03,   6.010548e+00,   2.848579e+02,   2.076014e+01,   4.305254e-03,   6.408757e+00,   1.380379e+01
  6.500000e+03,   6.015847e+00,   2.860790e+02,   2.086929e+01,   4.315620e-03,   6.425742e+00,   1.382632e+01
  6.550000e+03,   6.021135e+00,   2.872995e+02,   2.097840e+01,   4.325907e-03,   6.442690e+00,   1.384878e+01
  6.600000e+03,   6.026412e+00,   2.885195e+02,   2.108749e+01,   4.336116e-03,   6.459604e+00,   1.387117e+01
  6.650000e+03,   6.031678e+00,   2.897389e+02,   2.119654e+01,   4.346247e-03,   6.476481e+00,   1.389350e+01
  6.700000e+03,   6.036933e+00,   2.909578e+02,   2.130557e+01,   4.356302e-03,   6.493324e+00,   1.391576e+01
  6.750000e+03,   6.042114e+00,   2.921719e+02,   2.141435e+01,   4.366297e-03,   6.510046e+00,   1.393793e+01
