P (Pa), T (K), S (J/K/kg), rho (kg/m^3), Pe, Te, Se, rho_e  
377690244376.0,11345.0321296,5022.06782525,6268.93333992,3169114392.42,457.976182895,460.6238429,50.3257281205,
378809005828.0,11388.252887,5027.97995507,6272.33567946,3176810487.63,459.502075988,460.607856864,50.3754739235,
379929486920.0,11431.3966166,5034.06259723,6275.7689918,3184503552.46,461.033300356,460.592218509,50.4250274382,
381046513152.0,11474.0282777,5039.97557744,6279.15031725,3192193779.6,462.56980025,460.576931379,50.4743926421,
382168537425.0,11517.9068588,5045.89713879,6282.54095686,3199881367.34,464.11152225,460.561968389,50.5235735821,
383293024944.0,11560.78359,5051.73667295,6286.01285399,3207566519.35,465.658415249,460.547319771,50.5725743717,
384413756347.0,11603.4319407,5057.60768095,6289.45439008,3215249444.58,467.210430431,460.533010053,50.6213991884,
385540681282.0,11646.6065857,5063.6367365,6292.82659477,3222930357.1,468.767521248,460.519015436,50.6700522714,
386670116060.0,11689.9118009,5069.34270133,6296.20439969,3230609475.94,470.329643404,460.505326205,50.7185379185,
387796072374.0,11733.6601151,5075.27185316,6299.59515277,3238287024.95,471.89675483,460.491981187,50.7668604836,
388923351507.0,11776.8823364,5081.12237649,6302.90944948,3245963232.67,473.468815664,460.478960036,50.8150243745,
390052168083.0,11820.2453153,5087.00206164,6306.29701764,3253638332.14,475.04578823,460.466238034,50.8630340502,
391182535933.0,11864.2516382,5093.11982767,6309.66702577,3261312560.82,476.627637019,460.453836366,50.9108940183,
392318472731.0,11908.8420561,5098.90848502,6313.04651081,3268986160.37,478.214328662,460.441730484,50.9586088325,
393454509662.0,11953.2828274,5104.5912147,6316.43855932,3276659376.57,479.805831916,460.42994181,51.0061830902,
394589943047.0,11998.0028992,5110.33606375,6319.88217684,3284332459.13,481.402117635,460.418448702,51.0536214304,
395729004004.0,12042.5987272,5116.14138842,6323.26924075,3292005661.56,483.003158753,460.407250556,51.1009285305,
