P (GPa), T (K), S (J/K/kg),rho(kg/m^3), gamma, Cv/NKb, us(km/s), up(km/s) 
0.0,-153.185066745,0.0,2497.0,0.338814427004,0.0,4.632,0.0
0.199704158221,-150.584117811,3296.98361289,2506.08193332,0.343637886564,0.0,4.64898915745,0.0116763969975
0.401081803418,-149.486236457,3296.32630175,2515.16386664,0.348328140088,0.0,4.6659794772,0.023352793995
0.604093717736,-146.84683338,3296.4552715,2524.24579996,0.35294713283,0.0,4.68297095174,0.0350291909925
0.808742218225,-144.794034193,3293.42699007,2533.32773328,0.357517402081,0.0,4.69996357359,0.04670558799
1.01515302899,-142.376633713,3293.32358874,2542.40966659,0.361960761652,0.0,4.71695733525,0.0583819849875
1.22321225358,-140.570224631,3293.32845774,2551.49159991,0.366350654174,0.0,4.73395222923,0.070058381985
1.43313020487,-138.327982339,3290.41587535,2560.57353323,0.370720742218,0.0,4.75094824805,0.0817347789825
1.64453988509,-135.237291313,3288.97399767,2569.65546655,0.375065306796,0.0,4.7679453842,0.09341117598
1.85767730537,-131.411850197,3282.97957171,2578.73739987,0.379418400042,0.0,4.7849436302,0.105087572977
2.07256615029,-128.45754981,3276.67926692,2587.81933319,0.383642049439,0.0,4.80194297855,0.116763969975
2.28921480598,-126.440677191,3273.29694243,2596.90126651,0.387817050048,0.0,4.81894342177,0.128440366972
2.50731391112,-122.880369111,3279.98802818,2605.98319983,0.391931715132,0.0,4.83594495235,0.14011676397
2.72682811067,-119.475358506,3275.83871276,2615.06513314,0.39605778731,0.0,4.85294756281,0.151793160967
2.9483901916,-116.254685702,3269.65534998,2624.14706646,0.400121452451,0.0,4.86995124566,0.163469557965
3.1716492281,-112.757696121,3268.32885399,2633.22899978,0.404134877929,0.0,4.8869559934,0.175145954962
3.39676723254,-109.729743296,3265.86507983,2642.3109331,0.408045906351,0.0,4.90396179854,0.18682235196
3.62417005823,-107.333759481,3260.58948992,2651.39286642,0.411943418725,0.0,4.9209686536,0.198498748957
3.85271752723,-105.006652283,3260.61531849,2660.47479974,0.415775106518,0.0,4.93797655107,0.210175145955
4.08238186376,-100.795970567,3262.32759593,2669.55673306,0.419580424546,0.0,4.95498548346,0.221851542952
4.31418525353,-98.1680280287,3262.70909103,2678.63866638,0.423348103657,0.0,4.97199544329,0.23352793995
4.54801798392,-94.8881456782,3256.36678308,2687.72059969,0.427085373467,0.0,4.98900642307,0.245204336947
4.78343367823,-91.3688613764,3253.93644326,2696.80253301,0.430809320005,0.0,5.00601841529,0.256880733945
5.02048760366,-88.3120397145,3249.32776476,2705.88446633,0.434457044358,0.0,5.02303141247,0.268557130942
5.25909770164,-84.9763594003,3246.06340693,2714.96639965,0.438105542205,0.0,5.04004540711,0.28023352794
5.49914322618,-81.170399586,3239.58902704,2724.04833297,0.441702899752,0.0,5.05706039173,0.291909924937
5.74101414119,-77.8242998804,3235.89250842,2733.13026629,0.445293166774,0.0,5.07407635883,0.303586321935
5.98433476118,-74.1167589938,3238.70324401,2742.21219961,0.448785448753,0.0,5.09109330092,0.315262718932
6.22926237775,-70.2888878882,3234.79451305,2751.29413293,0.452265023521,0.0,5.1081112105,0.32693911593
6.47644558099,-66.7950609538,3232.19122299,2760.37606625,0.455689160453,0.0,5.1251300801,0.338615512927
6.72388668167,-63.4938925693,3227.55323495,2769.45799956,0.459146729107,0.0,5.1421499022,0.350291909925
6.97390954947,-59.4925781236,3221.68787071,2778.53993288,0.46257129817,0.0,5.15917066933,0.361968306922
7.22597190608,-55.8440164685,3223.45119019,2787.6218662,0.466002249085,0.0,5.17619237398,0.37364470392
7.47986442147,-52.5844913084,3218.79752315,2796.70379952,0.469407466508,0.0,5.19321500868,0.385321100917
7.7346558185,-49.2210731095,3216.42900559,2805.78573284,0.472775966507,0.0,5.21023856592,0.396997497915
7.99142948553,-44.9209545146,3214.95705046,2814.86766616,0.476086077179,0.0,5.22726303821,0.408673894912
8.24981884216,-40.8037868607,3211.93184759,2823.94959948,0.479371817569,0.0,5.24428841806,0.42035029191
8.51047517549,-36.2204789037,3208.62637875,2833.0315328,0.48264815844,0.0,5.26131469798,0.432026688907
8.77244600483,-32.9257401312,3208.39099656,2842.11346611,0.485883100274,0.0,5.27834187048,0.443703085905
9.03634373191,-28.3627676482,3200.78168739,2851.19539943,0.48910454677,0.0,5.29536992807,0.455379482902
9.302009126,-23.8031582866,3194.47082916,2860.27733275,0.49228155568,0.0,5.31239886325,0.4670558799
9.56917479226,-20.0236342865,3194.42128376,2869.35926607,0.49547591601,0.0,5.32942866853,0.478732276897
9.83758732323,-15.6105077174,3191.79025919,2878.44119939,0.498669207923,0.0,5.34645933642,0.490408673895
10.1064897678,-11.3193404901,3187.70370919,2887.52313271,0.501858844223,0.0,5.36349085942,0.502085070892
10.3790122134,-6.50757758671,3190.67251997,2896.60506603,0.505032471171,0.0,5.38052323005,0.51376146789
10.652622412,-1.19169833175,3188.485691,2905.68699935,0.508183856556,0.0,5.39755644082,0.525437864887
10.9267527709,3.34111290842,3184.73098369,2914.76893266,0.511352037637,0.0,5.41459048422,0.537114261885
11.2023979899,7.60228751752,3176.23588303,2923.85086598,0.514488699732,0.0,5.43162535277,0.548790658882
11.4811107214,12.8856272277,3170.74552177,2932.9327993,0.517627586664,0.0,5.44866103898,0.56046705588
11.7607226972,17.1309549976,3162.42512369,2942.01473262,0.520783028932,0.0,5.46569753536,0.572143452877
12.0415848806,20.1231145983,3154.2677571,2951.09666594,0.523874009712,0.0,5.48273483441,0.583819849875
12.3256686229,24.2209523686,3150.00488897,2960.17859926,0.526955150473,0.0,5.49977292864,0.595496246872
12.610307248,29.3704742228,3143.46164441,2969.26053258,0.53007295931,0.0,5.51681181055,0.60717264387
12.8978524417,33.9986754236,3137.58335955,2978.3424659,0.533191548245,0.0,5.53385147267,0.618849040867
13.187603676,38.7720640016,3131.49023731,2987.42439922,0.536277500846,0.0,5.55089190749,0.630525437865
13.4785018627,44.0950680794,3123.41849932,2996.50633253,0.539364589076,0.0,5.56793310752,0.642201834862
13.7723173777,48.9737885479,3118.06987334,3005.58826585,0.542483157214,0.0,5.58497506528,0.65387823186
14.0660022824,54.0839606812,3113.9235853,3014.67019917,0.545575364407,0.0,5.60201777326,0.665554628857
14.3625215763,59.5584872537,3106.9476055,3023.75213249,0.548665792333,0.0,5.61906122398,0.677231025855
14.6605682106,64.2131472732,3099.39457994,3032.83406581,0.551755202959,0.0,5.63610540994,0.688907422852
