 Pressure_R, P_e Density_R, rho_e, Pressure_S, P_e Density_S, rho_e
284.018146735,3.74806079837,5881.82463037,276.288358288,333.278388038,14.2032090473,6131.93000796,81.9194525639
281.683992207,2.91910207618,5917.49018005,245.384556345,335.827693999,11.645349318,6140.76410173,77.8095885474
319.678041388,3.11314965618,6015.14259461,117.6569031,374.296523445,9.57944833672,6264.12086261,75.6270628926
315.293647502,2.65363194004,6020.46634943,128.359185514,371.219191358,10.0071975209,6254.59300596,75.9093155796
227.009330265,1.81738705787,5680.63136599,107.330639347,266.060811289,7.3939782704,5887.28334636,68.8188091698
253.364426812,2.75313899879,5819.86953414,91.0534309031,297.739064635,9.47727277352,6007.96099836,73.5247627928
380.971344942,3.21470890427,6208.86858946,122.309131315,508.079893824,18.1208658833,6635.61731644,89.1024739626
201.374042203,1.47295586538,5118.95722536,120.621626614,507.316180435,14.8278234897,6633.82059114,85.416749883
425.102184606,2.51488182094,6362.83806377,104.686402965,569.687125989,14.9062698057,6787.49712981,87.7542023199
228.326362235,1.41524771916,5190.4095423,132.925244442,577.52209694,19.6802304338,6806.11556641,93.8661803646
269.057559412,1.73286735184,5052.65707892,162.575230043,648.462076792,16.4367806665,6970.51972973,93.8481445186
497.328118482,2.78777490892,6431.57718747,131.783390116,648.468194249,17.6786039296,6970.51279949,94.7057398391
299.347708581,2.05936819857,5105.34804709,115.104874413,713.211210188,11.6939948018,7114.78282501,94.2625046713
553.956491393,3.03218666089,6541.06540694,145.3218308,714.720195752,11.6809044161,7118.12750655,94.2482788125
101.564430817,1.0719249743,4643.21205346,151.04717152,261.998785118,6.50043247407,5871.04704509,67.3543390714
115.157610952,1.29043680052,4819.24303523,131.829805166,306.363802598,7.48141163333,6039.31579441,70.2399745856
181.999416718,1.58551590978,5068.30700654,122.967016873,464.956373814,11.2978457588,6523.57416402,79.549351457
193.679384672,1.8203822366,5268.01437605,194.889850252,512.885956433,12.7630146464,6647.9654532,83.4188763523
298.012356974,2.77557149574,5119.08962784,142.01460229,712.050161346,18.1602767521,7112.13034657,98.7316731407
